"Fissore, Matías",VOL,ATR,3200000,4,5,5,0,0,0,3,4,5,6,5,0,0,37,4.11
"Cuesta, Víctor",DEF,ARS,1700000,0,8,5,0,3,15,0,0,0,0,5,0,0,36,7.2
"Mandarino, Germán",VOL,QUI,2500000,0,5,4,5,3,5,5,5,0,0,0,0,4,36,4.5
"Díaz, Leandro J.",VOL,QUI,3200000,6,6,5,4,5,0,5,5,0,0,0,0,0,36,5.14
"Penco, Sebastián",DEL,SMJ,3600000,0,0,0,0,0,2,4,3,12,5,5,5,0,36,5.14
"Mateo, Diego",VOL,NEW,3900000,7,5,5,0,12,0,0,3,0,0,0,4,0,36,6
"Bastía, Adrián",VOL,COL,4000000,3,4,6,0,3,0,5,0,5,5,5,0,0,36,4.5
"Bella, Iván",VOL,VEL,4200000,6,5,0,5,0,5,4,4,0,4,0,0,3,36,4.5
"Hernández, Pablo",VOL,ARG,4700000,6,0,0,0,4,6,3,0,3,5,5,4,0,36,4.5
"Jara, Franco",DEL,SLO,6000000,5,0,5,6,6,5,4,4,1,0,0,0,0,36,4.5
"Barrera, Leandro",DEL,ARG,3000000,0,5,0,4,5,5,4,0,4,4,4,0,0,35,4.38
"Peruzzi, Gino",DEF,VEL,3000000,0,0,6,8,0,6,5,5,5,0,0,0,0,35,5.83
"Caruzzo, Matías",DEF,BOC,4300000,-1,0,0,3,5,6,5,8,0,7,0,2,0,35,3.89
"Caneo, Miguel",VOL,QUI,4800000,0,0,0,0,0,0,0,6,0,0,0,0,29,35,17.5
"Capurro, Alejandro",VOL,ARG,3200000,0,0,0,0,0,5,6,3,5,6,4,0,5,34,4.86
"Ferreira, Brian",VOL,VEL,1100000,0,0,5,4,6,0,5,0,3,5,0,0,5,33,4.71
"Depetris, Leonardo",DEL,ATR,2000000,0,5,0,0,0,6,0,0,2,8,5,3,4,33,4.71
"Godoy, Fernando",VOL,IND,2800000,0,5,5,0,0,0,0,0,4,0,7,7,5,33,5.5
"Sarmiento, Marcelo",VOL,UNI,2800000,5,0,0,0,0,6,0,4,6,5,4,0,3,33,4.13
"Jara, Leonardo",VOL,EST,3000000,5,5,0,4,0,6,3,1,0,0,5,0,4,33,4.13
"Hoyos, Santiago",DEF,SMJ,3800000,6,3,6,0,5,5,0,0,0,6,0,2,0,33,4.71
"Sabia, Juan",DEF,VEL,4100000,0,0,5,0,5,0,7,0,5,3,0,8,0,33,5.5
"Bernardi, Lucas",VOL,NEW,5000000,0,0,0,0,0,0,5,5,0,7,6,5,5,33,5.5
"Gil Romero, Gastón",VOL,EST,1000000,0,0,0,0,0,0,7,6,5,6,5,0,3,32,5.33
"Desábato, Leandro L.",VOL,VEL,1200000,0,0,5,5,5,4,0,0,0,4,0,5,4,32,4.57
"Sánchez, Fernando",VOL,ALB,3200000,0,0,6,5,2,0,0,0,4,0,6,5,4,32,4
"Corvalán, Claudio",DEF,RAC,3200000,4,7,0,0,0,2,0,0,5,3,0,5,6,32,4.57
"Cruzado, Rinaldo",VOL,NEW,3600000,0,0,0,0,12,0,5,0,5,0,5,0,5,32,6.4
